account_id,position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,sl,tp,best_floating_pnl,worst_floating_pnl,best_price_seen_live,worst_price_seen_live,max_favorable_points_live,max_adverse_points_live,account_type,server,symbol_norm,strategy_id_from_comment,raw_magic_is_bad,strategy_id,strategy_side,bucket_side,timeframe,ea_filename,strategy_mapping_source,strategy_mapping_confidence,strategy_mapping_reason,inference_sample_trades,inference_key,canonical_magic,canonical_bucket,bucket_side_auto_reason,is_exportable,not_exportable_reason
530164208,126242758,XAUUSD,BUY,2026-02-25 03:15:00+00:00,2026-02-25 03:22:15+00:00,5174.689999999999,5186.209999999999,11.520000000000437,0.1,0.1,115.2,0.0,-0.72,114.48,45,[tp 5186.09],119148448,5163.14,5186.09,,,,,,,LIVE,FTMO-Server3,XAUUSD,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
530164208,126571726,XAUUSD,BUY,2026-02-25 18:30:00+00:00,2026-02-25 19:09:34+00:00,5203.26,5214.81,11.550000000000182,0.1,0.1,115.5,0.0,-0.73,114.77,45,[tp 5214.78],119463685,5191.83,5214.78,,,,,,,LIVE,FTMO-Server3,XAUUSD,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
530164208,128136484,XAUUSD,BUY,2026-03-03 02:30:00+00:00,2026-03-03 02:54:08+00:00,5358.41,5346.85,-11.55999999999949,0.1,0.1,-115.6,0.0,-0.75,-116.35,45,[sl 5346.86],120916038,5346.86,5369.81,,,,,,,LIVE,FTMO-Server3,XAUUSD,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
530164208,128666455,XAUUSD,BUY,2026-03-04 03:15:00+00:00,2026-03-04 03:26:53+00:00,5159.94,5148.36,-11.579999999999927,0.1,0.1,-115.8,0.0,-0.72,-116.52,45,[sl 5148.41],121414973,5148.41,5171.36,,,,,,,LIVE,FTMO-Server3,XAUUSD,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
530164208,129068562,XAUUSD,BUY,2026-03-05 02:00:00+00:00,2026-03-05 02:19:37+00:00,5165.719999999999,5177.13,11.410000000000764,0.1,0.1,114.1,0.0,-0.72,113.38,45,[tp 5177.13],121785255,5154.18,5177.13,,,,,,,LIVE,FTMO-Server3,XAUUSD,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
530164208,129536878,XAUUSD,BUY,2026-03-06 03:45:00+00:00,2026-03-06 03:50:51+00:00,5118.77,5130.8,12.029999999999745,0.1,0.1,120.3,0.0,-0.72,119.58,45,[tp 5130.17],122217309,5107.22,5130.17,,,,,,,LIVE,FTMO-Server3,XAUUSD,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
530164208,130539287,XAUUSD,BUY,2026-03-10 01:45:00+00:00,2026-03-10 01:58:59+00:00,5137.259999999999,5148.999999999999,11.739999999999782,0.1,0.1,117.4,0.0,-0.72,116.68,45,[tp 5148.68],123078322,5125.73,5148.68,,,,,,,LIVE,FTMO-Server3,XAUUSD,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
530164208,131526983,XAUUSD,BUY,2026-03-12 10:15:00+00:00,2026-03-12 10:45:21+00:00,5170.51,5181.95,11.4399999999996,0.1,0.1,114.4,0.0,-0.72,113.68,45,[tp 5181.91],123996930,5158.96,5181.91,,,,,,,LIVE,FTMO-Server3,XAUUSD,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
530164208,131909219,XAUUSD,BUY,2026-03-13 04:15:00+00:00,2026-03-13 06:29:06+00:00,5119.93,5108.36,-11.570000000000618,0.1,0.1,-115.7,0.0,-0.72,-116.42,45,[sl 5108.38],124363325,5108.38,5131.33,,,,,,,LIVE,FTMO-Server3,XAUUSD,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
530164208,132832490,XAUUSD,BUY,2026-03-17 05:00:00+00:00,2026-03-17 07:44:46+00:00,5028.18,5040.48,12.299999999999272,0.2,0.2,246.0,0.0,-1.41,244.59,45,[tp 5039.58],125216790,5016.63,5039.58,,,,,,,LIVE,FTMO-Server3,XAUUSD,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
