date,symbol,timeframe,bars,open,high,low,close,net_move,daily_range,path_length,trend_efficiency,path_efficiency,noise_ratio,up_run_count,down_run_count,total_run_count,avg_up_run_length,max_up_run_length,avg_down_run_length,max_down_run_length,pullback_count,pullback_ratio,avg_body_size,avg_upper_wick,avg_lower_wick,max_upper_wick,max_lower_wick,wick_ratio,new_high_count,new_low_count,high_break_acceptance,low_break_acceptance,failed_high_breakouts,failed_low_breakouts,false_breakout_ratio,direction_changes,largest_candle,largest_candle_pct_of_day,top_3_candles_share,atr_spike_count
2022-03-25,USDJPY,M15,6,122.1,122.209,122.071,122.09,0.009999999999990905,0.13800000000000523,0.17000000000001592,0.0588235294117057,0.07246376811587338,0.9411764705882943,1,1,2,3.0,3.0,2.0,2.0,1,0.16666666666666666,0.029000000000001098,0.007500000000002653,0.019833333333335663,0.02599999999999625,0.028999999999996362,0.5291679550608438,3,1,0.6666666666666666,0.0,0,0,0.0,1,0.07600000000000762,0.5507246376811937,1.4927536231884744,0
2022-03-28,USDJPY,M15,96,122.045,125.095,122.007,123.924,1.8790000000000049,3.087999999999994,8.259999999999977,0.22748184019370585,0.608484455958552,0.7725181598062941,23,23,46,2.4347826086956523,6.0,1.6521739130434783,4.0,45,0.46875,0.0861250000000006,0.03928124999999971,0.04853125000000066,0.4089999999999918,0.38800000000000523,0.514219381261563,20,3,0.7,0.6666666666666666,2,1,0.13043478260869565,45,0.6899999999999977,0.223445595854922,0.5453367875647671,15
2022-03-29,USDJPY,M15,96,123.73,124.303,121.98,122.884,0.8460000000000036,2.3229999999999933,9.031000000000006,0.0936773336286129,0.3641842445114103,0.9063226663713871,26,25,51,1.8846153846153846,6.0,1.76,5.0,50,0.5208333333333334,0.09388541666666732,0.03669791666666663,0.04806249999999886,0.16800000000000637,0.2890000000000015,0.5136834626255147,7,11,0.5714285714285714,0.5454545454545454,1,1,0.1111111111111111,50,0.7749999999999915,0.3336203185535918,0.8540680154971959,14
2022-03-30,USDJPY,M15,96,122.867,123.205,121.312,121.821,1.0460000000000065,1.8930000000000007,8.320000000000022,0.1257211538461543,0.5525620707871136,0.8742788461538458,25,26,51,1.92,7.0,1.8076923076923077,4.0,50,0.5208333333333334,0.0865208333333336,0.028031250000000174,0.043562500000000316,0.1570000000000107,0.24199999999999022,0.49640374846884633,6,11,0.3333333333333333,0.45454545454545453,2,4,0.35294117647058826,50,0.48100000000000875,0.25409403063920155,0.7110406761753847,13
2022-03-31,USDJPY,M15,96,121.86,122.453,121.28,121.707,0.1530000000000058,1.1730000000000018,6.1640000000000015,0.024821544451655703,0.1304347826087004,0.9751784555483443,21,22,43,2.1904761904761907,5.0,2.227272727272727,7.0,42,0.4375,0.06441666666666664,0.031572916666666284,0.0372291666666665,0.1670000000000016,0.35999999999999943,0.5382402656185558,8,5,0.5,0.6,3,1,0.3076923076923077,42,0.5239999999999867,0.4467178175617953,1.023017902813288,13
2022-04-01,USDJPY,M15,96,121.634,123.035,121.634,122.556,0.921999999999997,1.4009999999999962,5.4889999999999475,0.16797230825287043,0.658101356174161,0.8320276917471295,26,26,52,2.0,6.0,1.6538461538461537,4.0,51,0.53125,0.05761458333333369,0.024843749999999904,0.030166666666667268,0.1039999999999992,0.11700000000000443,0.5217663731886858,23,0,0.4782608695652174,0.0,7,0,0.30434782608695654,51,0.29000000000000625,0.2069950035688844,0.5653104925053661,9
2022-04-04,USDJPY,M15,96,122.63,122.958,122.263,122.756,0.12600000000000477,0.6949999999999932,3.853000000000165,0.03270179081235385,0.18129496402878562,0.9672982091876462,22,22,44,2.090909090909091,5.0,2.1818181818181817,5.0,43,0.4479166666666667,0.04007291666666749,0.019322916666665375,0.022822916666666398,0.06399999999999295,0.11399999999999011,0.527660001565971,6,4,0.5,1.0,1,0,0.1,43,0.21399999999999864,0.30791366906474926,0.897841726618707,6
2022-04-05,USDJPY,M15,96,122.767,123.668,122.377,123.597,0.8299999999999983,1.291000000000011,3.919000000000082,0.21178872161265141,0.642912470952743,0.7882112783873486,28,28,56,1.6428571428571428,5.0,1.75,5.0,55,0.5729166666666666,0.041083333333334394,0.02002083333333271,0.02332291666666671,0.09099999999999397,0.1869999999999976,0.5509917808510644,16,4,0.5625,0.75,3,0,0.15,55,0.367999999999995,0.285050348566996,0.6723470178156482,10
2022-04-06,USDJPY,M15,96,123.522,124.05,123.475,123.784,0.26200000000000045,0.5750000000000028,3.6410000000000338,0.07195825322713487,0.455652173913042,0.9280417467728651,22,22,44,2.272727272727273,10.0,1.9545454545454546,4.0,43,0.4479166666666667,0.038104166666667716,0.021093749999999172,0.029989583333333236,0.09199999999999875,0.31400000000000716,0.5825187251001124,11,1,0.5454545454545454,0.0,2,0,0.16666666666666666,43,0.4100000000000108,0.7130434782608849,1.793043478260871,10
2022-04-07,USDJPY,M15,96,123.745,124.001,123.469,123.968,0.22299999999999898,0.5320000000000107,3.0809999999999746,0.07237909769555366,0.4191729323308167,0.9276209023044464,23,23,46,2.1739130434782608,8.0,1.9565217391304348,5.0,45,0.46875,0.03221874999999944,0.016812500000000192,0.019541666666666273,0.06199999999999761,0.07500000000000284,0.5643343830758324,11,6,0.45454545454545453,0.3333333333333333,4,3,0.4117647058823529,45,0.18000000000000682,0.33834586466166017,0.960526315789473,9
2022-04-08,USDJPY,M15,96,123.946,124.676,123.668,124.286,0.3400000000000034,1.0079999999999956,2.9920000000000044,0.1136363636363646,0.33730158730159215,0.8863636363636354,26,26,52,1.7307692307692308,7.0,1.8846153846153846,7.0,50,0.5208333333333334,0.03144791666666613,0.019583333333334323,0.018416666666665932,0.0870000000000033,0.07899999999999352,0.5815235002329628,10,4,0.7,0.25,3,1,0.2857142857142857,50,0.22399999999998954,0.22222222222221283,0.6418650793650877,17
2022-04-11,USDJPY,M15,96,124.043,125.769,124.037,125.387,1.343999999999994,1.7319999999999993,4.717999999999947,0.2848664688427319,0.7759815242494196,0.7151335311572681,27,25,52,1.8148148148148149,7.0,1.8,8.0,50,0.5208333333333334,0.04991666666666609,0.0243229166666669,0.021270833333333645,0.09999999999999432,0.08099999999998886,0.530562779240026,28,0,0.5357142857142857,0.0,5,0,0.17857142857142858,50,0.39000000000000057,0.22517321016166322,0.5132794457274804,4
