account_id,position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,sl,tp,best_floating_pnl,worst_floating_pnl,best_price_seen_live,worst_price_seen_live,max_favorable_points_live,max_adverse_points_live,account_type,server,symbol_norm,strategy_id_from_comment,raw_magic_is_bad,strategy_id,strategy_side,bucket_side,timeframe,ea_filename,strategy_mapping_source,strategy_mapping_confidence,strategy_mapping_reason,inference_sample_trades,inference_key,canonical_magic,canonical_bucket,bucket_side_auto_reason,is_exportable,not_exportable_reason
1513550384,460977734,XAUUSD,SELL,2026-06-01 01:05:01+00:00,2026-06-01 01:12:43+00:00,4520.07,4530.25,10.180000000000291,0.1,0.1,-101.8,0.0,-0.64,-102.44,58,[sl 4530.19],442306426,4530.19,4513.59,,,,,,,DEMO,FTMO-Demo,XAUUSD,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
1513550384,460976840,US500.cash,BUY,2026-06-01 01:05:00+00:00,2026-06-01 01:16:08+00:00,7576.66,7580.62,3.9600000000000364,0.1,0.1,0.4,0.0,0.0,0.4,29,[sl 7580.62],442309432,,7585.91,,,,,,,DEMO,FTMO-Demo,US500,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
1513550384,461015036,USOIL.cash,BUY,2026-06-01 02:00:00+00:00,2026-06-01 02:30:42+00:00,91.659,91.166,-0.4930000000000092,0.1,0.1,-4.93,0.0,0.0,-4.93,54,[sl 91.189],442345014,91.189,92.154,,,,,,,DEMO,FTMO-Demo,USOIL,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
1513550384,461171530,AUDJPY,BUY,2026-06-01 07:30:00+00:00,2026-06-01 09:35:18+00:00,114.58100000000002,114.50800000000001,-0.0730000000000075,0.1,0.1,-4.58,0.0,-0.5,-5.08,99,[sl 114.510],442533823,,114.823,,,,,,,DEMO,FTMO-Demo,AUDJPY,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
1513550384,461223534,USDCAD,BUY,2026-06-01 09:15:00+00:00,2026-06-01 10:35:47+00:00,1.38045,1.3813199999999999,0.0008699999999999264,0.1,0.1,6.3,0.0,-0.5,5.8,92,[tp 1.38132],442574648,1.37545,1.38132,,,,,,,DEMO,FTMO-Demo,USDCAD,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
1513550384,461290221,NZDUSD,BUY,2026-06-01 10:45:00+00:00,2026-06-01 12:49:26+00:00,0.59673,0.59514,-0.0015899999999999803,0.1,0.1,-15.9,0.0,-0.5,-16.4,76,[sl 0.59514],442680345,0.59514,0.59796,,,,,,,DEMO,FTMO-Demo,NZDUSD,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
1513550384,461153868,USDCAD,SELL,2026-06-01 06:45:04+00:00,2026-06-01 14:03:30+00:00,1.3812399999999998,1.38289,0.0016500000000001513,0.1,0.1,-11.93,0.0,-0.5,-12.43,77,[sl 1.38286],442729010,1.38286,1.37994,,,,,,,DEMO,FTMO-Demo,USDCAD,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
1513550384,461117623,USDCHF,SELL,2026-06-01 05:30:00+00:00,2026-06-01 15:43:43+00:00,0.78323,0.78455,0.0013199999999999878,0.1,0.1,-16.82,0.0,-0.5,-17.32,35,[sl 0.78453],442802952,0.78453,0.78204,,,,,,,DEMO,FTMO-Demo,USDCHF,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
1513550384,461290153,US500.cash,BUY,2026-06-01 10:45:00+00:00,2026-06-01 16:11:50+00:00,7596.680000000001,7581.970000000001,-14.710000000000036,0.1,0.1,-1.47,0.0,0.0,-1.47,28,[sl 7582.12],442847279,7582.12,7620.05,,,,,,,DEMO,FTMO-Demo,US500,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
1513550384,461536983,USDCAD,BUY,2026-06-01 16:00:00+00:00,2026-06-01 16:12:30+00:00,1.3827,1.38404,0.0013399999999998968,0.1,0.1,9.68,0.0,-0.5,9.18,91,[tp 1.38404],442852504,1.37913,1.38404,,,,,,,DEMO,FTMO-Demo,USDCAD,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
1513550384,461579989,USDJPY,BUY,2026-06-01 16:15:00+00:00,2026-06-01 23:45:00+00:00,159.648,159.661,0.01300000000000523,0.1,0.1,0.81,0.0,-0.5,0.31000000000000005,37,Strategy 0.18430,443244533,159.248,160.448,,,,,,,DEMO,FTMO-Demo,USDJPY,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
1513550384,462012115,USOIL.cash,BUY,2026-06-02 02:00:00+00:00,2026-06-02 02:40:28+00:00,94.218,93.72,-0.49800000000000466,0.1,0.1,-4.98,0.0,0.0,-4.98,54,[sl 93.748],443276412,93.748,94.713,,,,,,,DEMO,FTMO-Demo,USOIL,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
1513550384,461993769,XAUUSD,BUY,2026-06-02 01:15:02+00:00,2026-06-02 03:32:02+00:00,4484.23,4494.96,10.730000000000473,0.1,0.1,107.3,0.0,-0.62,106.67999999999999,58,[tp 4494.71],443305434,4474.51,4494.71,,,,,,,DEMO,FTMO-Demo,XAUUSD,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
1513550384,462052095,XAUUSD,BUY,2026-06-02 03:30:00+00:00,2026-06-02 03:49:34+00:00,4493.93,4482.45,-11.480000000000473,0.1,0.1,-114.8,0.0,-0.62,-115.42,45,[sl 4482.49],443314866,4482.49,4505.44,,,,,,,DEMO,FTMO-Demo,XAUUSD,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
1513550384,462025401,USOIL.cash,BUY,2026-06-02 02:45:00+00:00,2026-06-02 04:36:43+00:00,93.978,93.375,-0.6029999999999944,0.1,0.1,-6.03,0.0,0.0,-6.03,44,[sl 93.353],443344090,93.353,94.613,,,,,,,DEMO,FTMO-Demo,USOIL,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
1513550384,462191816,AUDJPY,BUY,2026-06-02 08:00:00+00:00,2026-06-02 09:47:50+00:00,114.413,114.655,0.24200000000000443,0.1,0.1,15.15,0.0,-0.5,14.65,99,[tp 114.655],443508420,,114.655,,,,,,,DEMO,FTMO-Demo,AUDJPY,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
1513550384,461987729,US500.cash,BUY,2026-06-02 01:05:00+00:00,2026-06-02 10:28:34+00:00,7591.26,7591.78,0.5199999999995271,0.1,0.1,0.05,0.0,0.0,0.05,29,[sl 7591.98],443532057,,7600.31,,,,,,,DEMO,FTMO-Demo,US500,,False,,,,,,,,,0,,,,,False,no_valid_strategy_id
